dataset,marker_style,model,accuracy,rank
SPair,radius_3,Gemini 2.5 Pro,66.6,1
SPair,text_offset_below,Gemini 2.5 Pro,64.0,2
SPair,font_scale_0.2,Gemini 2.5 Pro,66.9,1
SPair,default,Gemini 2.5 Flash,63.8,2
SPair,color_blue,Gemini 2.5 Flash,59.8,2
SPair,marker_square,Gemini 2.5 Flash,61.2,2
SPair,radius_3,Gemini 2.5 Flash,62.1,2
SPair,text_offset_below,Gemini 2.5 Flash,64.4,1
SPair,font_scale_0.2,Gemini 2.5 Flash,64.4,2
SPair,default,Llama 4 Scout,57.9,3
SPair,color_blue,Llama 4 Scout,58.0,3
SPair,marker_square,Llama 4 Scout,58.8,3
SPair,radius_3,Llama 4 Scout,58.5,3
SPair,text_offset_below,Llama 4 Scout,57.1,3
SPair,font_scale_0.2,Llama 4 Scout,40.8,6
SPair,default,Qwen3-VL-8B,54.8,4
SPair,color_blue,Qwen3-VL-8B,54.7,4
SPair,marker_square,Qwen3-VL-8B,51.5,4
SPair,radius_3,Qwen3-VL-8B,55.9,4
SPair,text_offset_below,Qwen3-VL-8B,53.7,4
SPair,font_scale_0.2,Qwen3-VL-8B,48.8,3
SPair,default,GPT-4.1,49.8,5
SPair,color_blue,GPT-4.1,48.9,5
SPair,marker_square,GPT-4.1,47.0,5
SPair,radius_3,GPT-4.1,49.6,5
SPair,text_offset_below,GPT-4.1,47.5,5
SPair,font_scale_0.2,GPT-4.1,48.8,3
SPair,default,GPT-4o,46.4,6
SPair,color_blue,GPT-4o,44.3,6
SPair,marker_square,GPT-4o,40.3,6
SPair,radius_3,GPT-4o,46.4,6
SPair,text_offset_below,GPT-4o,44.4,6
SPair,font_scale_0.2,GPT-4o,43.8,5
SPair,default,InternVL3-8B,36.9,7
SPair,color_blue,InternVL3-8B,34.3,8
SPair,marker_square,InternVL3-8B,34.9,7
SPair,radius_3,InternVL3-8B,36.0,7
SPair,text_offset_below,InternVL3-8B,34.4,8
SPair,font_scale_0.2,InternVL3-8B,26.6,9
SPair,default,Qwen2.5-VL-7B,36.3,8
SPair,color_blue,Qwen2.5-VL-7B,35.2,7
SPair,marker_square,Qwen2.5-VL-7B,33.2,8
SPair,radius_3,Qwen2.5-VL-7B,34.5,8
SPair,text_offset_below,Qwen2.5-VL-7B,36.4,7
SPair,font_scale_0.2,Qwen2.5-VL-7B,29.1,8
SPair,default,Gemma 3-4B,30.7,9
SPair,color_blue,Gemma 3-4B,29.2,9
SPair,marker_square,Gemma 3-4B,29.2,9
SPair,radius_3,Gemma 3-4B,31.2,9
SPair,text_offset_below,Gemma 3-4B,31.3,9
SPair,font_scale_0.2,Gemma 3-4B,29.5,7
